"";"ccode2";"year";"month";"varmag";"sdmag";"memag";"EthAl";"date"
"87";51;1989;12;0;0;1;".4128940000000001";"1982"
"88";51;1962;4;0;0;1;".4128940000000001";"1982"
"89";51;1993;2;0;0;1;".4128940000000001";"1982"
"90";51;1997;12;0;0;1;".4128940000000001";"1982"
"91";51;1949;12;0;0;1;".4128940000000001";"1982"
"92";51;1972;2;0;0;1;".4128940000000001";"1982"
"93";51;1967;2;0;0;1;".4128940000000001";"1982"
"94";51;1955;1;0;0;1;".4128940000000001";"1982"
"95";51;1983;12;0;0;1;".4128940000000001";"1982"
"96";51;1976;12;0;0;1;".4128940000000001";"1982"
"97";51;1959;7;0;0;1;".4128940000000001";"1982"
"98";51;2016;2;0;0;1;".4128940000000001";"1982"
"99";51;2011;12;0;0;1;".4128940000000001";"1982"
"100";51;2002;10;0;0;1;".4128940000000001";"1982"
"101";52;1971;5;0;0;1;".6475300000000001";"2001"
"102";52;1981;11;0;0;1;".6475300000000001";"2001"
"103";52;2010;5;0;0;1;".6475300000000001";"2001"
"104";52;1966;11;0;0;1;".6475300000000001";"2001"
"105";52;2000;12;0;0;1;".6475300000000001";"2001"
"106";52;2002;10;0;0;1;".6475300000000001";"2001"
"107";52;2001;12;0;0;1;".6475300000000001";"2001"
"108";52;1986;12;0;0;1;".6475300000000001";"2001"
"109";52;2007;11;0;0;1;".6475300000000001";"2001"
"110";52;1995;11;0;0;1;".6475300000000001";"2001"
"111";52;1976;9;0;0;1;".6475300000000001";"2001"
"112";52;2015;9;0;0;1;".6475300000000001";"2001"
"113";52;1991;12;0;0;1;".6475300000000001";"2001"
"114";53;1999;1;0;0;1;".1423419999999999";"1990"
"115";53;2003;5;0;0;1;".1423419999999999";"1990"
"116";53;1981;6;0;0;1;".1423419999999999";"1990"
"117";53;1971;9;0;0;1;".1423419999999999";"1990"
"118";53;2008;1;0;0;1;".1423419999999999";"1990"
"119";53;1991;1;0;0;1;".1423419999999999";"1990"
"120";53;1994;9;0;0;1;".1423419999999999";"1990"
"121";53;1976;9;0;0;1;".1423419999999999";"1990"
"122";53;1986;5;0;0;1;".1423419999999999";"1990"
"123";53;2013;2;0;0;1;".1423419999999999";"1990"
"124";53;1966;11;0;0;2;".1423419999999999";"1990"
"125";70;1994;8;0;0;40;".5418000000000001";"1990"
"126";70;2000;7;0;0;40;".5418000000000001";"1990"
"127";70;1997;6;0;0;40;".5418000000000001";"1990"
"128";70;2009;7;24,6063416738568;4,9604779682866;1,63934426229508;".5418000000000001";"1990"
"129";70;2012;7;24,6063416738568;4,9604779682866;1,63934426229508;".5418000000000001";"1990"
"130";70;2006;7;0;0;40;".5418000000000001";"1990"
"131";70;2003;7;0;0;40;".5418000000000001";"1990"
"132";70;1997;7;NA;NA;NA;".5418000000000001";"1990"
"133";70;1991;8;0;0;40;".5418000000000001";"1990"
"134";80;1998;8;0;0;1;".7015400000000001";"1991"
"135";80;1965;3;0;0;1;".7015400000000001";"1991"
"136";80;1969;12;0;0;1;".7015400000000001";"1991"
"137";80;1954;4;0;0;1;".7015400000000001";"1991"
"138";80;2012;3;0;0;1;".7015400000000001";"1991"
"139";80;1993;6;0;0;1;".7015400000000001";"1991"
"140";80;2008;2;0;0;1;".7015400000000001";"1991"
"141";80;1979;11;0;0;1;".7015400000000001";"1991"
"142";80;1984;12;0;0;1;".7015400000000001";"1991"
"143";80;1974;10;0;0;1;".7015400000000001";"1991"
"144";80;1989;9;0;0;1;".7015400000000001";"1991"
"145";80;2003;3;0;0;1;".7015400000000001";"1991"
"146";80;1957;3;0;0;1;".7015400000000001";"1991"
"147";80;1961;3;0;0;1;".7015400000000001";"1991"
"148";90;2015;9;42,606884057971;6,52739489061072;6,54166666666667;".5122";"2001"
"149";90;1984;7;NA;NA;NA;".5122";"2001"
"150";90;2007;9;NA;NA;NA;".5122";"2001"
"151";90;1990;11;NA;NA;NA;".5122";"2001"
"152";90;2003;11;NA;NA;NA;".5122";"2001"
"153";90;1999;11;NA;NA;NA;".5122";"2001"
"154";90;1995;11;NA;NA;NA;".5122";"2001"
"155";90;2011;9;NA;NA;NA;".5122";"2001"
"156";91;1993;11;NA;NA;NA;".1867";"1987"
"157";91;2001;11;NA;NA;NA;".1867";"1987"
"158";91;1980;4;NA;NA;NA;".1867";"1987"
"159";91;1985;11;NA;NA;NA;".1867";"1987"
"160";91;2009;11;34,6928104575163;5,89006031017648;7,11111111111111;".1867";"1987"
"161";91;2005;11;NA;NA;NA;".1867";"1987"
"162";91;1997;11;NA;NA;NA;".1867";"1987"
"163";91;1981;11;NA;NA;NA;".1867";"1987"
"164";91;2017;11;34,6928104575163;5,89006031017648;7,11111111111111;".1867";"1987"
"165";91;2013;11;34,6928104575163;5,89006031017648;7,11111111111111;".1867";"1987"
"166";92;2015;3;31,0769230769231;5,57466797907491;6;".1978";"1993"
"167";92;2006;3;32,6153846153846;5,71098805946787;6;".1978";"1993"
"168";92;1997;3;11,8021978021978;3,43543269504699;4,57142857142857;".1978";"1993"
"169";92;2009;1;32,6153846153846;5,71098805946787;6;".1978";"1993"
"170";92;2003;3;11,8021978021978;3,43543269504699;4,57142857142857;".1978";"1993"
"171";92;2012;3;31,0769230769231;5,57466797907491;6;".1978";"1993"
"172";92;2000;3;11,8021978021978;3,43543269504699;4,57142857142857;".1978";"1993"
"173";92;1994;3;11,8021978021978;3,43543269504699;4,57142857142857;".1978";"1993"
"174";93;2006;11;NA;NA;NA;".4844000000000002";"1991"
"175";93;1996;10;NA;NA;NA;".4844000000000002";"1991"
"176";93;1990;2;NA;NA;NA;".4844000000000002";"1991"
"177";93;2001;11;NA;NA;NA;".4844000000000002";"1991"
"178";93;2011;11;NA;NA;NA;".4844000000000002";"1991"
