"";"country.x";"year";"month";"elec_id";"enep";"seats";"memag";"varmag";"EthAl";"uppertier";"upperseats";"logenep";"logseats";"logmemag";"logvarmag";"logethal";"loguppertier";"logupperseats"
"30";"Argentina";2007;10;"L-ARG-2007-10-28";NA;257;NA;NA;0,255;0;0;NA;5,55295958492162;NA;NA;0,227135572583747;0;0
"31";"Argentina";2005;10;"L-ARG-2005-10-23";6,16;257;NA;NA;0,255;0;0;1,96850998097255;5,55295958492162;NA;NA;0,227135572583747;0;0
"32";"Australia";1949;12;"L-AUL-1949-12-10";2,64;121;1;0;0,0929019999999999;0;0;1,29198368164865;4,80402104473326;0,693147180559945;0;0,0888365436924112;0;0
"33";"Australia";1951;4;"L-AUL-1951-4-28";2,49;121;1;0;0,0929019999999999;0;0;1,24990173621434;4,80402104473326;0,693147180559945;0;0,0888365436924112;0;0
"34";"Australia";1946;9;"L-AUL-1946-9-28";2,74;74;1;0;0,0929019999999999;0;0;1,31908561142644;4,31748811353631;0,693147180559945;0;0,0888365436924112;0;0
"35";"Australia";1958;11;"L-AUL-1958-11-22";2,97;122;1;0;0,0929019999999999;0;0;1,3787660946991;4,81218435537242;0,693147180559945;0;0,0888365436924112;0;0
"36";"Australia";1961;12;"L-AUL-1961-12-9";2,81;122;1;0;0,0929019999999999;0;0;1,33762918913861;4,81218435537242;0,693147180559945;0;0,0888365436924112;0;0
"37";"Australia";1955;12;"L-AUL-1955-12-10";2,73;122;1;0;0,0929019999999999;0;0;1,31640823365572;4,81218435537242;0,693147180559945;0;0,0888365436924112;0;0
"38";"Australia";1977;12;"L-AUL-1977-12-10";3,11;124;1;0;0,0929019999999999;0;0;1,41342302850814;4,8283137373023;0,693147180559945;0;0,0888365436924112;0;0
"39";"Australia";1980;10;"L-AUL-1980-10-18";2,81;125;1;0;0,0929019999999999;0;0;1,33762918913861;4,83628190695148;0,693147180559945;0;0,0888365436924112;0;0
"40";"Australia";1954;5;"L-AUL-1954-5-29";2,46;121;1;0;0,0929019999999999;0;0;1,24126858906963;4,80402104473326;0,693147180559945;0;0,0888365436924112;0;0
"41";"Australia";1975;12;"L-AUL-1975-12-13";2,69;127;1;0;0,0929019999999999;0;0;1,30562645805244;4,85203026391962;0,693147180559945;0;0,0888365436924112;0;0
"42";"Australia";1987;7;"L-AUL-1987-7-11";2,9;148;1;0;0,0929019999999999;0;0;1,3609765531356;5,00394630594546;0,693147180559945;0;0,0888365436924112;0;0
"43";"Australia";1990;3;"L-AUL-1990-3-24";3,33;148;1;0;0,0929019999999999;0;0;1,4655675420144;5,00394630594546;0,693147180559945;0;0,0888365436924112;0;0
"44";"Australia";1983;3;"L-AUL-1983-3-5";2,67;125;1;0;0,0929019999999999;0;0;1,30019166206648;4,83628190695148;0,693147180559945;0;0,0888365436924112;0;0
"45";"Australia";1984;12;"L-AUL-1984-12-1";2,79;148;1;0;0,0929019999999999;0;0;1,33236601909433;5,00394630594546;0,693147180559945;0;0,0888365436924112;0;0
