"";"country";"date";"EthAl";"scode";"sname";"UN";"cow"
"100";"Kazakhstan";"1999";".6171219999999999";705;"Kazakhstan";398;705
"101";"Kenya";"2001";".8588";501;"Kenya";404;501
"102";"Kiribati";"1990";".0510539999999997";946;"Kiribati";296;946
"103";"Korea, North";"1995";".0392000000000001";731;"Korea, North";408;731
"104";"Korea, South";"1990";".0019979999999997";732;"Korea, South";410;732
"105";"Kyrgyzstan";"2001";".6751819999999999";703;"Kyrgyzstan";417;703
"106";"Kuwait";"2001";".6604";690;"Kuwait";414;690
"107";"Lao People's Dem Rep";"1983";".513862";812;"Lao People's Dem Rep";418;812
"108";"Latvia";"1996";".586668";367;"Latvia";428;367
"109";"Lebanon";"1996";".1313999999999999";660;"Lebanon";422;660
"110";"Lesotho";"1986";".255";570;"Lesotho";426;570
"111";"Liberia";"1992";".908388";450;"Liberia";430;450
"112";"Libya";"1995";".79203";620;"Libya";434;620
"113";"Liechtenstein";"1997";".5726100000000001";223;"Liechtenstein";438;223
"114";"Lithuania";"1996";".3222700000000002";368;"Lithuania";440;368
"115";"Luxembourg";"1996";".5302380000000001";212;"Luxembourg";442;212
"116";"Macau";".";".";.;"Macau";446;.
"117";"Macedonia (Former Yug. Rep)";"1994";".5022579999999999";343;"Macedonia (Former Yug. Rep)";807;343
"118";"Madagascar";"1985";".8791000000000001";580;"Madagascar";450;580
"119";"Malawi";"1998";".6744";553;"Malawi";454;553
"120";"Malaysia";"1996";".5879619999999999";820;"Malaysia";458;820
"121";"Mali";"1996";".6906";432;"Mali";466;432
"122";"Malta";"1996";".0414322107443801";338;"Malta";470;338
"123";"Marshall Islands";"1988";".0603379999999998";983;"Marshall Islands";584;983
"124";"Martinique";".";".";.;"Martinique";474;.
"125";"Mauritania";"1992";".615";435;"Mauritania";478;435
"126";"Mauritius";"1992";".4633999999999999";590;"Mauritius";480;590
"127";"Mayotte";".";".";.;"Mayotte";175;.
"128";"Mexico";"1990";".5418000000000001";70;"Mexico";484;70
"129";"Micronesia";"1994";".7005359999999999";987;"Micronesia";.;.
"130";"Moldova";"1989";".553478";359;"Moldova";498;359
"131";"Monaco";"2001";".6838";221;"Monaco";492;221
